,latitude,longitude,elevation,distance,speedMin,speedMax,heading,car__rSOC,simName,d_distance,d_elevation,inclination_angle,inclination_angle_deg,stintNumber,speed,time,day,time_unix,d_time,d_timeDriving,solar__sunElevationAngle,solar__sunAzimuthAngle,weather__airTemp,weather__airPressure,weather__humidity,weather__windSpeed,weather__windDirection,weather__windHeading,weather__airDensity,weather__cloudCover,weather__dewPoint,aero__headingDeltaCarWind,aero__vTailwind,aero__vCrossWind,aero__airSpeedForward,aero__dragForce,aero__dragPower,aero__d_dragEnergy,aero__dragEnergy,car__ForceNormal,car__ForceLongitudinal,mech__tyreRollingResistanceForce,mech__tyreRollingResistancePower,mech__d_tyreRollingResistanceEnergy,mech__tyreRollingResistanceEnergy,mech__chassisRollingResistanceForce,mech__chassisRollingResistancePower,mech__d_chassisRollingResistanceEnergy,mech__chassisRollingResistanceEnergy,mech__gravityResistanceForce,mech__gravityRollingResistancePower,mech__d_gravityRollingResistanceEnergy,mech__gravityRollingResistanceEnergy,mech__totalResistiveForce,mech__totalResistivePower,mech__d_totalResistiveEnergy,mech__totalResistiveEnergy,mech__gravitysRollingResistanceEnergy,elec__motorTorque,elec__motorSpeed,elec__motorSpeedRPM,elec__motorPowerTractive,elec__motorTempWinding,elec__motorTempMagnet,elec__motorMagnetRemanence,elec__motorCurrentPerPhase,elec__motorResistanceWinding,elec__motorPowerWinding,elec__motorPowerEddyCurrent,elec__motorPowerLossTotal,elec__motorPowerTotal,elec__efficiencyMotorController,elec__motorControllerPowerLoss,elec__batteryCellVoltage,elec__batteryPackVoltage,elec__batteryPackCurrent,elec__batteryPackPowerLoss,elec__totalLossesPower,elec__d_totalLossesEnergy,elec__totalLossesEnergy,solar__sunAzimuthRelativeCar,solar__rotationX,solar__rotationY,solar__projectedAreaRatio,solar__projectedArea,solar__powerIncidentOnArray,solar__powerCapturedArray,solar__d_energyCapturedArray,solar__energyCapturedArray,car__powerUsed,car__d_energyUsed,car__energyUsed,car__SOC_Delta,car__powerDelta,car__SOC,sens__powerPerKph,sens__energyPerKph,onSpeedMin,onSpeedMax,sens_powerPerKphDeltaToMax,sens_powerPerKphDeltaToMin,sens_powerPerKphDeltaToMax_gated,sens_powerPerKphDeltaToMin_gated,sens_powerPerKph_weightAdd,sens_powerPerKph_weightSubtract
0,-12.46322,130.84618,24.7,0.0,0,999,70.88808925918482,1.0,20190812_Baseline,0.0,0.0,0.0,0.0,1,74.44647006495268,2019-10-12 08:30:00.000000,1,1570869000.0,0,0,30,91,30,101250,0,0,0,180,1.225,0.0,6.0,109.11191074081518,-0.0,0.0,74.44647006495268,73.34108713195371,1516.662513250022,0,0,8433.719,0.0,50.60231399999999,1046.4343484495375,0,0,0,0.0,0,0,0.0,0.0,0,0,50.60231399999999,1046.4343484495375,0,0,,16.670387452247773,76.87574356149594,734.1092755006216,1281.5484308497794,316.5119019977394,309.92614505167046,1.2996886259379956,12.154801571494577,0.06281523855567421,27.840819510199672,1.5259980672496178,29.36681757744929,1310.9152484272286,0.9860147389551112,18.593527289874135,4.1,131.2,10.133451034429138,1.5060735047185367,54.33412669547371,0,0,20.111910740815176,-30.7769355322472,-58.4150700690046,0.35419800429234966,1.59665375058362,1596.65375058362,376.7144859126993,0,0,2617.430988395033,0,0,0,-2240.716502482334,100800000.0,76.47776454196446,0.0,False,False,-0.01669741111982148,0.000835124337754678,-0.01669741111982148,0.000835124337754678,0.010242077141748527,0.007919988116020696
1,-12.44067375,130.9112459375,29.17812499999999,10.0,0,999,93.43669667064825,0.9892221527777778,20190812_Baseline,10.0,4.4781249999999915,0.0004478124700658217,0.025657764548100096,1,74.45122292045328,2019-10-12 08:38:03.553496,1,1570869483.553496,0:08:03.553496,0:08:03.553496,32,91,30,101250,0,0,0,180,1.225,0.0,6.0,86.56330332935175,0.0,0.0,74.45122292045328,73.35045200086432,1516.953014786766,733457,733457,8433.718154367842,3.7767244110028417,50.60230892620705,1046.5010505985233,506023,506023,0,0.0,0,0,3.7767244110028417,78.10604195352505,18883,0,54.37903333720989,1046.5010505985233,524906,524906,18883.0,17.179615777970984,76.88065150810954,734.1561429384607,1320.7800536694074,317.3236521202856,310.32555347163094,1.2992093358340429,12.521473551882549,0.06299437323202649,29.630153065810028,1.5207307150375493,31.150883780847575,1351.930937450255,0.9861686198527476,18.96133212137492,4.089470823870574,130.86306636385837,10.475776761641294,1.6095478484762415,54.8054058707322,26357,26357,-2.436696670648246,3.892355510463446,-57.97670313263732,0.4178937815675907,1.8837815730173988,1883.7815730173988,444.45942433772507,198313,198313,2618.2594712560212,1284720,1284720,-1086407,-2173.800046918296,99713593.0,76.4777645340564,20310.0,False,False,-0.016697419027877913,0.0008351164296982461,-0.016697419027877913,0.0008351164296982461,0.010242081992495954,0.007919913119148816
2,-12.472121492537315,130.99440552238804,43.86268656716418,20.0,0,999,123.57302614037378,0.9779613690476191,20190812_Baseline,10.0,14.684561567164192,0.0014684551012093732,0.08413627970375323,1,74.46259283674478,2019-10-12 08:46:07.054638,1,1570869967.054638,0:08:03.501142,0:08:03.501142,34,90,30,101250,0,0,0,180,1.225,0.0,6.0,56.426973859626216,0.0,0.0,74.46259283674478,73.3728573327931,1517.6481113445377,733616,1467073,8433.709906932861,12.384533236795818,50.60225944159717,1046.659844838604,506022,1012045,0,0.0,0,0,12.384533236795818,256.16234885685,80806,0,62.98679267839299,1046.659844838604,586829,1111735,80806.0,18.34037292650453,76.89239243777858,734.2682605580601,1410.2351525199958,319.2785524752856,311.2808982755557,1.2980629220693332,13.355703478851884,0.06342284537658677,33.93911501143136,1.5082530661194609,35.44736807755082,1445.6825205975467,0.9865195199866503,19.754798490787163,4.078469855921856,130.5110353894994,11.228455239166998,1.8491470368503262,55.83847142851853,26720,53077,-33.573026140373784,39.346793924027395,-51.00783808332242,0.4077903193900425,1.8382371865889895,1838.2371865889895,433.71368180380614,212078,410391,2620.1464276116603,1347165,2631885,-2221494,-2186.432745807854,98578506.0,76.47776462134516,20300.0,False,False,-0.01669733173912391,0.0008352037184522487,-0.01669733173912391,0.0008352037184522487,0.01024202845017459,0.007920740931084249
3,-12.53598109589041,131.0548416438356,46.54931506849314,30.0,0,999,152.00015453968396,0.9669552777777778,20190812_Baseline,10.0,2.686628501328954,0.000268662843668892,0.015393247054210541,1,74.44860760492224,2019-10-12 08:54:10.564272,1,1570870450.564272,0:08:03.509634,0:08:03.509634,36,90,30,101250,0,0,0,180,1.225,0.0,6.0,27.99984546031604,0.0,0.0,74.44860760492224,73.34529879586842,1516.7931582553845,733590,2200663,8433.718695628248,2.2658269019865704,50.602312173769484,1046.4643563685402,506022,1518067,0,0.0,0,0,2.2658269019865704,46.85768275740967,73251,0,52.868139075756055,1046.4643563685402,579274,1691009,73251.0,16.975707393733494,76.87795085184041,734.1303535707713,1305.0575986906674,316.99526582527506,310.16417098874945,1.2994029948135006,12.37469789986369,0.06292199318845414,28.90632870745757,1.5228269524876916,30.42915565994526,1335.4867543506127,0.98610681945068,18.81556666422226,4.06771770291514,130.1669664932845,10.40434725875482,1.5876731475844643,54.63776571268777,26680,79757,-62.000154539683955,50.5504319807676,-32.869287134062375,0.48817395903311694,2.200590554384205,2200.590554384205,519.2073354014093,230130,640521,2617.8952803366124,1339544,3971429,-3330908,-2098.687944935203,97469092.0,76.47776427679219,20300.0,False,False,-0.01669767629209673,0.0008348591654794291,-0.01669767629209673,0.0008348591654794291,0.0102422397965984,0.007917473327295562
4,-12.620045833333332,131.07305777777776,24.03888888888891,40.0,0,999,169.61124890536544,0.957993621031746,20190812_Baseline,10.0,-22.510426179604227,-0.002251038815816283,-0.12897502366639968,1,74.32780982984565,2019-10-12 09:02:14.511938,1,1570870934.511938,0:08:03.947666,0:08:03.947666,38,89,30,101250,0,0,0,180,1.225,0.0,6.0,10.388751094634557,0.0,0.0,74.32780982984565,73.10747672596001,1509.4218408963952,732263,2932926,8433.69763244082,-18.984612797616204,50.602185794644924,1044.7637896441347,506022,2024089,0,0.0,0,0,-18.984612797616204,-391.96796936513095,-83593,0,31.61757299702872,1044.7637896441347,422428,2113437,-83593.0,14.085519187741985,76.75321130715164,732.9391786625963,1081.1088305876997,312.8088623990008,308.08316992614425,1.301900196088627,10.28758444801012,0.061988664211875696,19.681598093346494,1.546670915446553,21.22826900879305,1102.3370995964926,0.9852397494930295,16.514530337964803,4.058962795482295,129.88680945543345,8.614051223718418,1.0882942177777233,51.83735045662356,25713,105470,-80.61124890536544,51.62452017749509,-11.793900124769365,0.5905389605878089,2.6620315045875684,2662.0315045875686,628.079713192391,277069,917590,2606.0229809971534,1180404,5151833,-4234243,-1977.9432678047624,96565757.0,76.47776101742238,20340.0,False,False,-0.016700935661901894,0.0008315997956742649,-0.016700935661901894,0.0008315997956742649,0.010244239071620044,0.00788656275631158
5,-12.708653820224722,131.0864979775281,55.517977528089894,50.0,0,999,163.43811722114296,0.9480980257936508,20190812_Baseline,10.0,31.479088639200985,0.003147898466092446,0.18036129644280283,1,74.48199660907848,2019-10-12 09:10:18.351019,1,1570871418.351019,0:08:03.839081,0:08:03.839081,40,89,30,101250,0,0,0,180,1.225,0.0,6.0,16.56188277885704,0.0,0.0,74.48199660907848,73.41110192415314,1518.8348457176357,732592,3665518,8433.677214057294,26.548447257571915,50.602063284343764,1046.9285294324632,506021,2530110,0,0.0,0,0,26.548447257571915,549.272599615214,37819,0,77.15051054191568,1046.9285294324632,543840,2657277,37819.0,20.250536876686258,76.91242937740446,734.4595992372136,1557.5179873826567,322.8278880526743,313.075,1.2959100000000001,14.722251889809103,0.0642275,41.76291079397416,1.4851948162991893,43.24810561027335,1600.76609299293,0.9870971454977423,20.924436955615178,4.049577301190476,129.58647363809524,12.514350336266949,2.296931476969429,57.45589433346564,26394,131864,-74.43811722114296,48.94314114382683,-17.73024561211558,0.598277752975872,2.6969164326268316,2696.9164326268315,636.3104631139746,305350,1222940,2623.2192694835644,1302826,6454659,-5231719,-1986.90880636959,95568281.0,76.4777646407947,20330.0,False,False,-0.016697312289579713,0.0008352231679964461,-0.016697312289579713,0.0008352231679964461,0.010242016519957948,0.00792092538285022
6,-12.788211025641026,131.12306820512822,33.784615384615414,60.0,0,999,161.82597548221693,0.9382586210317461,20190812_Baseline,10.0,-21.73336214347448,-0.0021733327925187473,-0.12452279648870564,1,74.32766741523034,2019-10-12 09:18:22.190563,1,1570871902.190563,0:08:03.839544,0:08:03.839544,42,88,30,101250,0,0,0,180,1.225,0.0,6.0,18.174024517783067,0.0,0.0,74.32766741523034,73.10719657339736,1509.4131646020408,732591,4398109,8433.699082197298,-18.32926363624822,50.60219449318379,1044.761967436157,506021,3036131,0,0.0,0,0,-18.32926363624822,-378.4365032003148,41095,0,32.27293085693557,1044.761967436157,547117,3204394,41095.0,14.173627139379779,76.75306424538448,732.9377743261653,1087.8693144189413,312.9236940211477,308.14085500805584,1.301830973990333,10.35138508817121,0.06201453597111304,19.93479086238906,1.5458553379356448,21.480646200324706,1109.3499606192659,0.9852649271666803,16.590819399582404,4.04380986717033,129.40191574945055,8.701113685201596,1.1104042306544368,51.93574953111788,26418,158282,-73.82597548221693,46.847285490511794,-17.190366398862267,0.6254403658489577,2.8193600579265,2819.3600579265003,665.1998120671784,314314,1537254,2606.1108815693156,1306126,7760785,-6223531,-1940.9110695021373,94576469.0,76.4777610170404,20330.0,False,False,-0.01670093604388967,0.0008315994136864902,-0.01670093604388967,0.0008315994136864902,0.010244239305928717,0.007886559133690973
7,-12.873620597014925,131.14065343283582,52.93731343283581,70.0,0,999,180.96365472155378,0.9291929166666667,20190812_Baseline,10.0,19.152698048220394,0.001915267462925661,0.10973674226436925,1,74.46650938381693,2019-10-12 09:26:26.080467,1,1570872386.080467,0:08:03.889904,0:08:03.889904,44,88,30,101250,0,0,0,180,1.225,0.0,6.0,-0.9636547215537803,0.0,-0.0,74.46650938381693,73.38057599517218,1517.8875974817722,732438,5130547,8433.703531512167,16.15281771672625,50.602221189073,1046.7141052828013,506022,3542153,0,0.0,0,0,16.15281771672625,334.1233200215777,-10882,0,66.75503890579925,1046.7141052828013,495139,3699533,-10882.0,18.84824020418066,76.89643678626283,734.3068812412313,1449.3625113930755,320.1802645138267,311.7185156440248,1.2975377812271702,13.719986417533388,0.06361911676634514,35.926611115480306,1.5025416621608418,37.42915277764115,1486.7916641707166,0.9866727785884724,20.082444890760886,4.038495934798535,129.2318699135531,11.660236055312582,1.9940962046956359,56.31106699633756,26141,184423,-92.96365472155378,45.96168121634689,3.0646599507588093,0.6978713273079642,3.1458643432991726,3145.8643432991726,742.2352331580067,339895,1877149,2620.912769760911,1253718,9014503,-7137354,-1878.6775366029042,93662646.0,76.47776420583796,20340.0,False,False,-0.01669774724632589,0.0008347882112502703,-0.01669774724632589,0.0008347882112502703,0.010242283319434567,0.00791680042551757
8,-12.95852231884058,131.1202034782609,90.47681159420294,80.0,0,999,188.47691197065288,0.9178531845238095,20190812_Baseline,10.0,37.539498161367135,0.0037539321825579963,0.21508447063890684,1,74.48816632988847,2019-10-12 09:34:29.448979,1,1570872869.448979,0:08:03.368512,0:08:03.368512,45,86,30,101250,0,0,0,180,1.225,0.0,6.0,-8.476911970652878,0.0,-0.0,74.48816632988847,73.42326445423892,1519.2123153196492,734019,5864566,8433.659576056903,31.65953481489844,50.601957456341424,1047.0130621183057,506020,4048173,0,0.0,0,0,31.65953481489844,655.072415338625,239061,0,82.26149227123986,1047.0130621183057,745082,4444615,239061.0,20.9395997795769,76.9188004232636,734.5204382436825,1610.64889638829,324.19927495293325,313.64658391916265,1.295224099297005,15.215147062183807,0.06448385538774445,44.78417300684971,1.4779697468497712,46.262142753699486,1656.9110391419895,0.9873053025888979,21.304437668740647,4.031849078113553,129.0191704996337,13.007489277072159,2.481523400299492,58.02048696992118,27611,212034,-102.47691197065288,44.31537478936525,12.191161483388555,0.7179900184799733,3.2365553786165497,3236.5553786165497,763.6328760307887,363667,2240816,2624.245864407876,1506712,10521215,-8280399,-1860.6129883770873,92519601.0,76.47776432014325,20280.0,False,False,-0.01669763294103177,0.0008349025165443891,-0.01669763294103177,0.0008349025165443891,0.010242213205353307,0.00791788445160817
9,-13.04490891304348,131.11512478260872,62.13478260869565,90.0,0,999,184.33163603466693,0.9086330158730159,20190812_Baseline,10.0,-28.34202898550729,-0.0028341953098143615,-0.1623874295681357,1,74.32585360198166,2019-10-12 09:42:33.274361,1,1570873353.274361,0:08:03.825382,0:08:03.825382,47,86,30,101250,0,0,0,180,1.225,0.0,6.0,-4.3316360346669285,0.0,-0.0,74.32585360198166,73.10362855657725,1509.3026649638352,732634,6597200,8433.685127411163,-23.902774833572895,50.60211076446698,1044.7347435086203,506020,4554193,0,0.0,0,0,-23.902774833572895,-493.4983730447974,38783,0,26.699335930894083,1044.7347435086203,544804,4989419,38783.0,13.423498723564894,76.75119124533423,732.9198884931807,1030.269517713829,311.97100664365,307.6612171885931,1.3024065393736883,9.807880263072201,0.061799418409084005,17.834295290664013,1.5525324975778754,19.386827788241888,1049.6563455020707,0.9850501918137982,15.930316198194083,4.026444611721612,128.84622757509158,8.270220104653362,1.0031492618313855,51.16799136090651,26369,238403,-98.33163603466693,42.69689963977577,7.695414619722499,0.7397125762242391,3.3344763236087305,3334.4763236087306,786.7363437922439,374414,2615230,2605.2053998333618,1303807,11825022,-9209792,-1818.4690560411177,91590208.0,76.47776076745686,20330.0,False,False,-0.01670118562742573,0.0008313498301504296,-0.01670118562742573,0.0008313498301504296,0.010244392398753185,0.007884192182387806
