motorSpeed,motorTorque,efficiency
150,75.5,0.993
134.5,56.5,0.993
127.7,44.9,0.993
125.5,36.1,0.993
127.5,28.5,0.993
136.1,22.1,0.993
145.5,187,0.993
149.7,17.1,0.993
150,99.5,0.992
135,82,0.992
119.7,61.9,0.992
110.9,44.9,0.992
109.1,37.1,0.992
110.5,30.9,0.992
113.9,25.7,0.992
119.3,22.1,0.992
125.9,18.7,0.992
135.5,15.7,0.992
142.1,14.3,0.992
146.3,13.5,0.992
149.7,13.1,0.992
130.7,119.9,0.99
119.7,103.7,0.99
106.9,84.1,0.99
96.5,65.9,0.99
90.3,53.3,0.99
86.7,42.1,0.99
86.1,33.9,0.99
88.1,28.5,0.99
92.7,23.5,0.99
97.9,19.9,0.99
106.1,16.5,0.99
116.1,13.5,0.99
127.1,11.5,0.99
137.9,9.9,0.99
149.5,8.9,0.99
106.1,119.9,0.988
94.1,97.5,0.988
85.7,81.7,0.988
77.9,64.5,0.988
72.9,50.1,0.988
70.9,39.3,0.988
72.1,30.5,0.988
75.9,24.1,0.988
81.7,19.3,0.988
87.9,16.3,0.988
94.7,13.7,0.988
104.5,11.5,0.988
115.3,9.7,0.988
127.9,8.5,0.988
139.3,7.3,0.988
149.7,6.7,0.988
81.5,119.9,0.985
74.1,101.5,0.985
65.3,78.9,0.985
58.7,58.9,0.985
56.3,47.3,0.985
55.7,38.3,0.985
56.3,31.3,0.985
59.1,25.1,0.985
64.1,19.7,0.985
70.5,15.9,0.985
77.1,13.1,0.985
86.5,10.9,0.985
96.3,9.1,0.985
113.1,6.9,0.985
128.1,5.9,0.985
141.9,5.1,0.985
149.5,4.7,0.985
69.9,119.7,0.983
62.9,99.9,0.983
55.1,74.9,0.983
49.9,54.1,0.983
48.1,42.1,0.983
48.9,31.7,0.983
51.9,24.9,0.983
56.3,19.7,0.983
61.7,15.9,0.983
70.7,12.1,0.983
82.7,9.5,0.983
98.7,7.1,0.983
109.3,6.3,0.983
121.7,5.1,0.983
132.5,4.9,0.983
141.5,4.1,0.983
149.5,4.1,0.983
56.9,119.7,0.98
52.1,102.9,0.98
46.9,82.7,0.98
43.3,66.5,0.98
41.1,52.7,0.98
39.9,40.3,0.98
41.1,30.1,0.98
45.3,21.7,0.98
51.3,16.3,0.98
58.5,12.7,0.98
68.7,9.7,0.98
79.1,7.7,0.98
90.9,6.3,0.98
104.9,5.3,0.98
118.7,4.5,0.98
128.3,4.1,0.98
138.3,3.7,0.98
149.5,3.3,0.98
42.1,119.9,0.975
37.3,96.1,0.975
34.3,77.9,0.975
31.9,61.7,0.975
30.9,46.3,0.975
31.1,33.7,0.975
33.7,25.1,0.975
37.1,19.5,0.975
42.9,14.7,0.975
49.7,11.3,0.975
60.3,8.3,0.975
73.5,6.3,0.975
89.3,4.9,0.975
106.3,3.9,0.975
122.9,3.3,0.975
137.1,2.9,0.975
149.7,2.5,0.975
32.1,119.7,0.97
28.5,93.5,0.97
25.9,69.1,0.97
24.5,50.1,0.97
25.1,33.9,0.97
26.5,26.7,0.97
30.5,19.1,0.97
35.9,13.9,0.97
43.1,10.3,0.97
51.7,7.7,0.97
61.3,6.1,0.97
75.5,4.7,0.97
92.3,3.7,0.97
111.3,2.7,0.97
122.7,2.5,0.97
134.1,2.1,0.97
25.3,119.9,0.965
22.7,97.1,0.965
21.5,78.9,0.965
20.3,57.5,0.965
20.1,42.1,0.965
21.5,29.9,0.965
24.5,21.5,0.965
29.5,14.7,0.965
38.1,9.9,0.965
50.9,6.3,0.965
62.1,4.9,0.965
75.1,3.7,0.965
88.3,3.1,0.965
104.5,2.5,0.965
123.5,2.1,0.965
19.9,119.9,0.96
18.1,97.1,0.96
16.9,73.3,0.96
16.5,49.1,0.96
17.3,36.1,0.96
19.1,26.1,0.96
22.5,18.3,0.96
26.3,13.9,0.96
31.5,10.3,0.96
38.1,7.7,0.96
47.3,5.7,0.96
58.7,4.3,0.96
72.5,3.5,0.96
83.9,2.7,0.96
19.9,119.5,0.955
18.1,93.9,0.955
16.9,72.3,0.955
16.5,52.1,0.955
17.7,32.1,0.955
20.3,22.9,0.955
23.9,16.1,0.955
29.7,11.5,0.955
36.3,8.5,0.955
45.9,6.1,0.955
58.5,4.3,0.955
73.5,3.5,0.955
89.9,2.3,0.955
12.5,119.9,0.95
11.7,97.5,0.95
11.5,75.1,0.95
11.5,53.7,0.95
12.5,37.9,0.95
14.7,24.5,0.95
17.9,17.5,0.95
21.7,12.5,0.95
26.5,9.1,0.95
33.3,6.7,0.95
43.1,4.7,0.95
55.9,3.3,0.95
68.7,2.5,0.95
84.9,1.9,0.95
102.7,1.5,0.95
7.3,119.7,0.94
7.3,96.3,0.94
7.7,77.5,0.94
8.1,59.1,0.94
9.1,41.3,0.94
10.5,29.3,0.94
13.1,20.1,0.94
15.7,14.7,0.94
19.5,10.9,0.94
24.5,7.7,0.94
33.3,5.1,0.94
45.3,3.3,0.94
57.3,2.7,0.94
73.5,1.9,0.94
87.7,1.5,0.94
105.1,1.3,0.94
122.1,1.1,0.94
149.5,0.9,0.94
