latitude,longitude,elevation,distance
-12.46322,130.84618,24.7,0
-12.46288,130.84606,25,0.04
-12.46268,130.84599,24.8,0.064
-12.46247,130.84592,24.8,0.088
-12.46234,130.84587,25,0.104
-12.46225,130.84584,25.1,0.114
-12.46219,130.8459,24.4,0.123
-12.46203,130.84606,22.6,0.148
-12.46196,130.84612,21.8,0.159
-12.46178,130.84624,20.7,0.182
-12.46159,130.84634,20.2,0.206
-12.46141,130.84643,19.9,0.229
-12.46088,130.84675,18.1,0.297
-12.4608,130.84678,18,0.306
-12.46062,130.84683,17.8,0.327
-12.46039,130.84689,17.2,0.354
-12.46014,130.84694,16.7,0.382
-12.45975,130.84698,16.2,0.426
-12.45941,130.84699,16.2,0.464
-12.4591,130.84697,15.9,0.498
-12.45868,130.84692,13.3,0.545
-12.45828,130.84683,11.7,0.591
-12.45792,130.84671,10.8,0.633
-12.45764,130.84659,10.4,0.667
-12.45699,130.84626,10.3,0.747
-12.45685,130.84619,10.2,0.765
-12.45663,130.84609,10.1,0.792
-12.45636,130.84601,9.8,0.823
-12.45622,130.84596,9.6,0.839
-12.45607,130.84593,9.3,0.856
-12.45585,130.8459,8.8,0.881
-12.45553,130.84588,8.7,0.917
-12.45527,130.8459,8.6,0.946
-12.45501,130.84593,8.7,0.975
-12.45476,130.84599,9.2,1.004
-12.45453,130.84606,9.5,1.03
-12.45436,130.84613,9.5,1.051
-12.45425,130.84618,9.4,1.064
-12.45408,130.84627,9.2,1.085
-12.45396,130.84633,9.1,1.1
-12.45379,130.8464,9.1,1.121
-12.45378,130.8464,9.1,1.122
-12.45368,130.84645,9.1,1.134
-12.45361,130.84649,9.1,1.143
-12.45346,130.84658,9,1.162
-12.45331,130.8467,8.9,1.184
-12.4533,130.84671,8.9,1.185
-12.4531,130.84691,8.6,1.216
-12.45301,130.84699,8.5,1.23
-12.45287,130.8471,8.7,1.249
-12.45263,130.84731,9.5,1.284
-12.4524,130.84748,10.2,1.316
-12.45232,130.84752,10.5,1.326
-12.45184,130.84779,12.9,1.387
-12.45162,130.8479,13.7,1.414
-12.45142,130.84799,13.9,1.438
-12.45127,130.84806,13.9,1.457
-12.45105,130.84815,14,1.483
-12.45087,130.8482,13.8,1.504
-12.45076,130.84822,13.3,1.516
-12.45071,130.84823,13,1.522
-12.4502,130.84836,10.5,1.58
-12.45014,130.84838,10.2,1.587
-12.45001,130.8484,9.7,1.602
-12.44917,130.848615,8.4,1.698
-12.44833,130.84883,8.6,1.795
-12.44788,130.84895,9.3,1.847
-12.44781,130.84896,9.5,1.854
-12.447315,130.849035,10.8,1.91
-12.44682,130.84911,11.9,1.966
-12.44637,130.84915,11.7,2.016
-12.44585,130.84917,12,2.074
-12.44543,130.84916,12.7,2.121
-12.44506,130.84916,12.6,2.162
-12.44498,130.84916,12.6,2.171
-12.44486,130.84915,12.7,2.184
-12.44461,130.84912,12.9,2.212
-12.443795,130.849065,13,2.303
-12.44298,130.84901,14.8,2.394
-12.44274,130.84899,15.6,2.421
-12.44255,130.84899,15.1,2.442
-12.44215,130.849,13.2,2.487
-12.44203,130.84902,12.6,2.5
-12.44171,130.84904,10.8,2.536
-12.44155,130.84905,9.9,2.554
-12.44108,130.84912,7.6,2.607
-12.44082,130.84917,6.6,2.636
-12.44052,130.84922,5.8,2.67
-12.44017,130.84932,5.3,2.71
-12.44015,130.84933,5.3,2.713
-12.43997,130.84939,5,2.734
-12.43974,130.84947,5.8,2.761
-12.43958,130.84953,6.4,2.78
-12.43935,130.84963,7.1,2.808
-12.43913,130.84973,7.5,2.835
-12.43911,130.84974,7.5,2.837
-12.43844,130.8501,9.3,2.921
-12.43836,130.85014,9.4,2.931
-12.4382,130.85026,9.8,2.953
-12.43761,130.85065,12.5,3.031
-12.4374,130.85082,14.4,3.061
-12.4372,130.851,16.3,3.091
-12.43701,130.85118,17.9,3.12
-12.43683,130.85136,19.6,3.148
-12.43657,130.85163,22.4,3.189
-12.43605,130.85229,23.9,3.281
-12.436,130.85235,23.8,3.29
-12.43587,130.85254,23.8,3.315
-12.43571,130.85278,23.9,3.346
-12.43559,130.85299,23.9,3.373
-12.43535,130.85345,23.2,3.43
-12.43511,130.85396,22.9,3.491
-12.434845,130.85465,22.1,3.572
-12.43458,130.85534,20,3.652
-12.43438,130.85589,19.5,3.716
-12.434195,130.85635,19.2,3.77
-12.43401,130.85681,18.9,3.824
-12.43388,130.85716,17.9,3.865
-12.4338,130.85736,17.4,3.889
-12.43366,130.85775,17.4,3.934
-12.43362,130.8579,17.5,3.951
-12.43346,130.85834,17.5,4.002
-12.43326,130.85882,16.8,4.058
-12.4332,130.85897,16.1,4.076
-12.4331,130.85924,14.7,4.107
-12.43305,130.85935,13.9,4.121
-12.43301,130.85946,13.1,4.133
-12.43296,130.85958,12.3,4.148
-12.43285,130.85999,9.6,4.194
-12.43278,130.86019,8.6,4.217
-12.43263,130.86078,7,4.283
-12.43258,130.86102,6.7,4.31
-12.43253,130.86136,6.8,4.347
-12.4325,130.86159,6.9,4.372
-12.43248,130.8618,6.6,4.395
-12.43246,130.86206,6.2,4.424
-12.43244,130.86251,6,4.473
-12.43244,130.86285,6,4.51
-12.43244,130.863345,6,4.563
-12.43244,130.86384,5.8,4.617
-12.432437,130.864653,5.5,4.706
-12.432433,130.865467,6.7,4.794
-12.43243,130.86628,7.8,4.882
-12.43243,130.86685,8.1,4.944
-12.43244,130.86698,8.1,4.959
-12.432435,130.867692,9.1,5.036
-12.43243,130.868405,11,5.114
-12.432425,130.869118,13,5.191
-12.43242,130.86983,13.1,5.268
-12.432415,130.87041,13.9,5.331
-12.43241,130.87099,16.1,5.395
-12.43241,130.87151,17.9,5.451
-12.43242,130.8718,18.8,5.483
-12.43242,130.87206,19.1,5.511
-12.43242,130.87262,19,5.572
-12.43242,130.87318,18.2,5.633
-12.43242,130.8735,18.8,5.667
-12.43241,130.87371,19.3,5.69
-12.43241,130.8739,19.9,5.711
-12.4324,130.87442,21.4,5.767
-12.4324,130.87495,22.5,5.825
-12.432395,130.87559,23.4,5.895
-12.43239,130.87623,24.3,5.964
-12.43239,130.87642,24.6,5.985
-12.432395,130.877135,25,6.063
-12.4324,130.87785,25,6.14
-12.432395,130.87863,25,6.225
-12.43239,130.87941,23.1,6.31
-12.432385,130.88019,20.8,6.395
-12.43238,130.88097,18.6,6.48
-12.432373,130.881873,17.6,6.578
-12.432367,130.882777,18,6.676
-12.43236,130.88368,16.1,6.774
-12.432356,130.88455,15.6,6.869
-12.432351,130.88542,15.2,6.963
-12.432347,130.88629,16.1,7.058
-12.432343,130.88716,17.1,7.152
-12.432339,130.88803,16.7,7.247
-12.432334,130.8889,17.1,7.342
-12.43233,130.88977,19.3,7.436
-12.43233,130.88997,19.5,7.458
-12.43234,130.89057,20.4,7.523
-12.43235,130.89071,20.5,7.538
-12.43241,130.89133,21.3,7.606
-12.43244,130.89153,21.7,7.628
-12.4325,130.89186,22.7,7.665
-12.43254,130.89211,23.6,7.692
-12.4326,130.89238,24.6,7.722
-12.43269,130.89275,25.8,7.764
-12.4328,130.89315,26.4,7.809
-12.43294,130.8936,27.6,7.86
-12.4331,130.8941,28.3,7.917
-12.43325,130.89447,28.9,7.961
-12.43353,130.89506,28,8.032
-12.43372,130.89543,26.1,8.078
-12.43404,130.89596,22,8.146
-12.4345,130.89667,17.9,8.238
-12.43475,130.89702,17,8.285
-12.43483,130.89711,16.7,8.299
-12.43496,130.89729,16.3,8.323
-12.435437,130.897873,13.8,8.406
-12.435913,130.898457,11.9,8.488
-12.43639,130.89904,12,8.571
-12.43657,130.89932,12.1,8.607
-12.43678,130.89959,13.2,8.645
-12.43689,130.89974,14,8.665
-12.43705,130.89998,15.3,8.697
-12.43725,130.90028,16.5,8.736
-12.43728,130.90032,16.8,8.742
-12.43741,130.90049,17.7,8.765
-12.43754,130.90071,18.9,8.793
-12.43765,130.90088,20.2,8.815
-12.43774,130.90104,21.5,8.835
-12.43791,130.90134,23.8,8.873
-12.43802,130.90153,25.4,8.897
-12.43817,130.9018,27.5,8.931
-12.4383,130.90206,29.2,8.963
-12.43847,130.90248,30.4,9.012
-12.43863,130.90284,31.3,9.055
-12.43874,130.90315,31.9,9.091
-12.43882,130.90338,32.4,9.118
-12.43887,130.90358,32.9,9.14
-12.43895,130.9038,33.6,9.165
-12.43902,130.90408,34.2,9.197
-12.43912,130.90447,35.4,9.241
-12.43919,130.90477,36.4,9.274
-12.43923,130.90501,36.8,9.301
-12.43929,130.90538,37.1,9.342
-12.4394,130.90603,36.8,9.413
-12.43947,130.90644,36.6,9.458
-12.43951,130.90662,36.5,9.479
-12.43952,130.9067,36.4,9.487
-12.43958,130.9071,36.4,9.531
-12.43959,130.90715,36.4,9.537
-12.43966,130.90753,36.6,9.579
-12.439815,130.908345,34.5,9.669
-12.43997,130.90916,33,9.759
-12.44002,130.90937,33.2,9.783
-12.44027,130.91018,33.2,9.875
-12.44042,130.91062,32,9.926
-12.44064,130.91117,29.6,9.991
-12.44088,130.91171,26.6,10.055
-12.44102,130.91195,24.6,10.085
-12.44115,130.91221,22.7,10.117
-12.44135,130.91259,20.1,10.164
-12.44151,130.91287,18.6,10.199
-12.44157,130.91296,18.1,10.211
-12.44205,130.91365,15.3,10.303
-12.442345,130.914045,14.5,10.357
-12.44264,130.91444,14.1,10.411
-12.44271,130.91453,14.1,10.424
-12.44295,130.91486,14.2,10.469
-12.4433,130.91529,14.2,10.529
-12.4438,130.91594,12.9,10.619
-12.44413,130.91633,12.7,10.676
-12.44431,130.91653,13,10.705
-12.44449,130.91671,13.4,10.733
-12.44479,130.91699,13.7,10.778
-12.44501,130.91715,13.9,10.808
-12.44539,130.91741,14.6,10.859
-12.44579,130.91765,15.3,10.911
-12.44636,130.91797,15.8,10.983
-12.44657,130.91809,15.8,11.01
-12.44694,130.91832,16.2,11.058
-12.44721,130.91849,16.7,11.093
-12.4477,130.9188,17.4,11.158
-12.44816,130.91908,17.3,11.217
-12.44845,130.9193,17.6,11.257
-12.44872,130.91956,18.5,11.299
-12.44875,130.9196,18.6,11.304
-12.44897,130.91984,18.8,11.34
-12.44921,130.92016,17.6,11.384
-12.44939,130.92048,16.3,11.424
-12.44957,130.92085,14.7,11.469
-12.44962,130.92097,14.3,11.483
-12.44969,130.92114,13.9,11.503
-12.44974,130.92136,13.5,11.528
-12.4498,130.92163,13.5,11.558
-12.44986,130.92194,13.5,11.592
-12.44992,130.92229,13.5,11.631
-12.44992,130.92231,13.5,11.633
-12.44993,130.92245,13.5,11.648
-12.44992,130.9225,13.5,11.654
-12.44992,130.92269,13.5,11.674
-12.4499,130.92283,13.6,11.69
-12.4499,130.92304,13.8,11.712
-12.44991,130.92341,14,11.753
-12.44991,130.92359,14,11.772
