location,time,airTemp,airPressure,humidity,solarIrradiance,windSpeed,windDirection
Darwin,12/10/19 06:00,24,101533,0.87,,3,NNW
Darwin,12/10/19 09:00,29,101630,0.56,,9,NNW
Darwin,12/10/19 12:00,32,101391,0.38,,13,NNW
Darwin,12/10/19 15:00,31,101147,0.47,,19,NNW
Darwin,12/10/19 18:00,29,101230,0.57,,12,NW
Darwin,13/10/19 06:00,24,101533,0.87,,3,SE
Darwin,13/10/19 09:00,29,101630,0.56,,9,ENE
Darwin,13/10/19 12:00,32,101391,0.38,,13,NNW
Darwin,13/10/19 15:00,31,101147,0.47,,19,NNW
Darwin,13/10/19 18:00,29,101230,0.57,,12,NW
Katherine,12/10/19 06:00,24,101533,0.87,,3,SE
Katherine,12/10/19 09:00,29,101630,0.56,,9,ENE
Katherine,12/10/19 12:00,32,101391,0.38,,13,NNW
Katherine,12/10/19 15:00,31,101147,0.47,,19,NNW
Katherine,12/10/19 18:00,29,101230,0.57,,12,NW
Katherine,13/10/19 06:00,24,101533,0.87,,3,SE
Katherine,13/10/19 09:00,29,101630,0.56,,9,ENE
Katherine,13/10/19 12:00,32,101391,0.38,,13,NNW
Katherine,13/10/19 15:00,31,101147,0.47,,19,NNW
Katherine,13/10/19 18:00,29,101230,0.57,,12,NW
Dunmarra,12/10/19 06:00,24,101533,0.87,,3,SE
Dunmarra,12/10/19 09:00,29,101630,0.56,,9,ENE
Dunmarra,12/10/19 12:00,32,101391,0.38,,13,NNW
Dunmarra,12/10/19 15:00,31,101147,0.47,,19,NNW
Dunmarra,12/10/19 18:00,29,101230,0.57,,12,NW
Dunmarra,13/10/19 06:00,24,101533,0.87,,3,SE
Dunmarra,13/10/19 09:00,29,101630,0.56,,9,ENE
Dunmarra,13/10/19 12:00,32,101391,0.38,,13,NNW
Dunmarra,13/10/19 15:00,31,101147,0.47,,19,NNW
Dunmarra,13/10/19 18:00,29,101230,0.57,,12,NW
Tennant Creek,12/10/19 06:00,24,101533,0.87,,3,SE
Tennant Creek,12/10/19 09:00,29,101630,0.56,,9,ENE
Tennant Creek,12/10/19 12:00,32,101391,0.38,,13,NNW
Tennant Creek,12/10/19 15:00,31,101147,0.47,,19,NNW
Tennant Creek,12/10/19 18:00,29,101230,0.57,,12,NW
Tennant Creek,13/10/19 06:00,24,101533,0.87,,3,SE
Tennant Creek,13/10/19 09:00,29,101630,0.56,,9,ENE
Tennant Creek,13/10/19 12:00,32,101391,0.38,,13,NNW
Tennant Creek,13/10/19 15:00,31,101147,0.47,,19,NNW
Tennant Creek,13/10/19 18:00,29,101230,0.57,,12,NW
Tennant Creek,14/10/19 06:00,24,101533,0.87,,3,SE
Tennant Creek,14/10/19 09:00,29,101630,0.56,,9,ENE
Tennant Creek,14/10/19 12:00,32,101391,0.38,,13,NNW
Tennant Creek,14/10/19 15:00,31,101147,0.47,,19,NNW
Tennant Creek,14/10/19 18:00,29,101230,0.57,,12,NW
Tennant Creek,15/10/19 06:00,24,101533,0.87,,3,SE
Tennant Creek,15/10/19 09:00,29,101630,0.56,,9,ENE
Tennant Creek,15/10/19 12:00,32,101391,0.38,,13,NNW
Tennant Creek,15/10/19 15:00,31,101147,0.47,,19,NNW
Tennant Creek,15/10/19 18:00,29,101230,0.57,,12,NW
Barrow Creek,14/10/19 06:00,24,101533,0.87,,3,SE
Barrow Creek,14/10/19 09:00,29,101630,0.56,,9,ENE
Barrow Creek,14/10/19 12:00,32,101391,0.38,,13,NNW
Barrow Creek,14/10/19 15:00,31,101147,0.47,,19,NNW
Barrow Creek,14/10/19 18:00,29,101230,0.57,,12,NW
Barrow Creek,15/10/19 06:00,24,101533,0.87,,3,SE
Barrow Creek,15/10/19 09:00,29,101630,0.56,,9,ENE
Barrow Creek,15/10/19 12:00,32,101391,0.38,,13,NNW
Barrow Creek,15/10/19 15:00,31,101147,0.47,,19,NNW
Barrow Creek,15/10/19 18:00,29,101230,0.57,,12,NW
Alice Springs,14/10/19 06:00,24,101533,0.87,,3,S
Alice Springs,14/10/19 09:00,29,101630,0.56,,9,S
Alice Springs,14/10/19 12:00,32,101391,0.38,,13,S
Alice Springs,14/10/19 15:00,31,101147,0.47,,19,S
Alice Springs,14/10/19 18:00,29,101230,0.57,,12,S
Alice Springs,15/10/19 06:00,24,101533,0.87,,3,S
Alice Springs,15/10/19 09:00,29,101630,0.56,,9,S
Alice Springs,15/10/19 12:00,32,101391,0.38,,13,S
Alice Springs,15/10/19 15:00,31,101147,0.47,,19,S
Alice Springs,15/10/19 18:00,29,101230,0.57,,12,S
Kulgera,14/10/19 06:00,24,101533,0.87,,3,SE
Kulgera,14/10/19 09:00,29,101630,0.56,,9,ENE
Kulgera,14/10/19 12:00,32,101391,0.38,,13,NNW
Kulgera,14/10/19 15:00,31,101147,0.47,,19,NNW
Kulgera,14/10/19 18:00,29,101230,0.57,,12,NW
Kulgera,15/10/19 06:00,24,101533,0.87,,3,SE
Kulgera,15/10/19 09:00,29,101630,0.56,,9,ENE
Kulgera,15/10/19 12:00,32,101391,0.38,,13,NNW
Kulgera,15/10/19 15:00,31,101147,0.47,,19,NNW
Kulgera,15/10/19 18:00,29,101230,0.57,,12,NW
Coober Pedy,14/10/19 06:00,24,101533,0.87,,3,SE
Coober Pedy,14/10/19 09:00,29,101630,0.56,,9,ENE
Coober Pedy,14/10/19 12:00,32,101391,0.38,,13,NNW
Coober Pedy,14/10/19 15:00,31,101147,0.47,,19,NNW
Coober Pedy,14/10/19 18:00,29,101230,0.57,,12,NW
Coober Pedy,15/10/19 06:00,24,101533,0.87,,3,SE
Coober Pedy,15/10/19 09:00,29,101630,0.56,,9,ENE
Coober Pedy,15/10/19 12:00,32,101391,0.38,,13,NNW
Coober Pedy,15/10/19 15:00,31,101147,0.47,,19,NNW
Coober Pedy,15/10/19 18:00,29,101230,0.57,,12,NW
Coober Pedy,16/10/19 06:00,24,101533,0.87,,3,SE
Coober Pedy,16/10/19 09:00,29,101630,0.56,,9,ENE
Coober Pedy,16/10/19 12:00,32,101391,0.38,,13,NNW
Coober Pedy,16/10/19 15:00,31,101147,0.47,,19,NNW
Coober Pedy,16/10/19 18:00,29,101230,0.57,,12,NW
Coober Pedy,17/10/19 06:00,24,101533,0.87,,3,SE
Coober Pedy,17/10/19 09:00,29,101630,0.56,,9,ENE
Coober Pedy,17/10/19 12:00,32,101391,0.38,,13,NNW
Coober Pedy,17/10/19 15:00,31,101147,0.47,,19,NNW
Coober Pedy,17/10/19 18:00,29,101230,0.57,,12,NW
Glendambo,16/10/19 06:00,24,101533,0.87,,3,SE
Glendambo,16/10/19 09:00,29,101630,0.56,,9,ENE
Glendambo,16/10/19 12:00,32,101391,0.38,,13,NNW
Glendambo,16/10/19 15:00,31,101147,0.47,,19,NNW
Glendambo,16/10/19 18:00,29,101230,0.57,,12,NW
Glendambo,17/10/19 06:00,24,101533,0.87,,3,SE
Glendambo,17/10/19 09:00,29,101630,0.56,,9,ENE
Glendambo,17/10/19 12:00,32,101391,0.38,,13,NNW
Glendambo,17/10/19 15:00,31,101147,0.47,,19,NNW
Glendambo,17/10/19 18:00,29,101230,0.57,,12,NW
Port Augusta,16/10/19 06:00,24,101533,0.87,,3,SE
Port Augusta,16/10/19 09:00,29,101630,0.56,,9,ENE
Port Augusta,16/10/19 12:00,32,101391,0.38,,13,NNW
Port Augusta,16/10/19 15:00,31,101147,0.47,,19,NNW
Port Augusta,16/10/19 18:00,29,101230,0.57,,12,NW
Port Augusta,17/10/19 06:00,24,101533,0.87,,3,SE
Port Augusta,17/10/19 09:00,29,101630,0.56,,9,ENE
Port Augusta,17/10/19 12:00,32,101391,0.38,,13,NNW
Port Augusta,17/10/19 15:00,31,101147,0.47,,19,NNW
Port Augusta,17/10/19 18:00,29,101230,0.57,,12,NW
Adelaide,16/10/19 06:00,24,101533,0.87,,3,SE
Adelaide,16/10/19 09:00,29,101630,0.56,,9,ENE
Adelaide,16/10/19 12:00,32,101391,0.38,,13,NNW
Adelaide,16/10/19 15:00,31,101147,0.47,,19,NNW
Adelaide,16/10/19 18:00,29,101230,0.57,,12,NW
Adelaide,17/10/19 06:00,24,101533,0.87,,3,SE
Adelaide,17/10/19 09:00,29,101630,0.56,,9,ENE
Adelaide,17/10/19 12:00,32,101391,0.38,,13,NNW
Adelaide,17/10/19 15:00,31,101147,0.47,,19,NNW
Adelaide,17/10/19 18:00,29,101230,0.57,,12,NW
